id,title,poster_url,btv_update_date,content_type,open_year,matched_title,matched_year,source_url,netflix,coupang,tving,wavve,disney,watcha,other_providers,lookup_status,last_checked
d55d1c0f803c,아파트,https://file.kinolights.com/m/content_poster/202606/23/8747972c-5adb-49ed-804d-fe4d2089299d.webp,2026-07-15,드라마,2026,아파트,2026,https://m.kinolights.com/season/153338?vod=streaming,True,False,False,False,False,False,,조회 완료: 넷플릭스,2026.07.17 00:35
6c4e5346590c,야구여왕 2,https://file.kinolights.com/s/content_poster/202607/06/f39dc85a-324f-4b0c-b407-e20609637d35.webp,2026-07-12,예능,2026,야구여왕 2,2026,https://m.kinolights.com/season/153616?vod=streaming,False,False,True,False,True,False,,"조회 완료: 티빙, 디즈니+",2026.07.17 00:36
b345cf2773df,왕과 사는 남자,https://file.kinolights.com/s/content_poster/202601/12/a74f51e6-70f6-465c-8a90-1c05119ec1b5.webp,2026-07-22,영화,2026,왕과 사는 남자,2026,https://m.kinolights.com/season/148606,False,False,False,False,False,False,,주요 OTT 제공처 없음,2026.07.18 06:58
c5e9bd595d7c,쉘터,https://file.kinolights.com/s/content_poster/202604/03/15d0f488-9699-4bbb-aa1c-2876fcc55cf4.webp,2026-07-23,영화,2026,쉘터,2026,https://m.kinolights.com/season/150553,False,False,False,False,False,False,,주요 OTT 제공처 없음,2026.07.23 09:28
cd2b36e3f913,살목지,https://file.kinolights.com/s/content_poster/202604/08/b35d6d0f-f745-4b40-b982-9bb5bce7b7d3.webp,2026-07-29,영화,2026,살목지,2026,https://m.kinolights.com/season/142768,False,False,False,False,False,False,,주요 OTT 제공처 없음,2026.07.29 10:17
f3559445d5d5,유부녀 킬러,https://file.kinolights.com/s/content_poster/202607/10/692c2f03-9c9d-4323-aca8-66a2bbb12367.webp,2026-07-31,드라마,2026,유부녀 킬러,2026,https://m.kinolights.com/season/152258?vod=streaming,False,False,False,False,False,False,,주요 OTT 제공처 없음,2026.07.29 10:20
c39691623330,재벌X형사 2,https://file.kinolights.com/s/content_poster/202607/22/5deb7b3d-d206-4cc9-b0c7-2d625c4b0e83.webp,2026-08-07,드라마,2026,재벌X형사 2,2026,https://m.kinolights.com/season/153562,False,False,False,False,False,False,,주요 OTT 제공처 없음,2026.07.29 10:21
